nama_produk,nama_shade,text_final
Colorfit Velvet Matte Lip Mousse,01 Brown Dreamer,wardah colorfit velvet matte lip mousse rupa lipstik cair hasil akhir matte tetap nyaman buat bibir kering pecah pecah kaya vitamin e beri lembap bibir milik tekstur velvet powdery lembut ringan aplikasi formula tahan lama how to use aplikasi bibir rata suitable for ingredients bingung sih nama shade nya brown warna asli pink banget bright pink gitu skintone medium light velvet matte pertama aku coba tekstur creamy and velvety lembut gak terlalu powdery glides on easily on the lips pigmentasi cukup bagus lumayan melembabkan gak bikin bibir kering tarik gitu aku ombre colorfit lip ink shade go getter hasil bagus banget ombre deep pink cantik tahan oke aku pakai beberapa jam stay pakai makan bakso hilang bagi dalam sedikit so far i loveee it jadi tarik coba shade lain singkat padat salah pilih shade mama cocok bangettt bener warna pink natural mlbb aku oke lah diakalin pake tipis klu pake tebel bibir two toned aku cover malah jadi menor banget wkwk aku malah cenderung warna pink ungu mauve mama aku malah warna pink natural mlbb gak transfer kalau udah set kalau pake tipis langsung nge set tekstur thick creamy kalau pakai tebal sabar nunggu set sih bahkan gak set jadi aku wkwk mending pake tipis ajaa tekstur meski thick creamy enak soft bangettt gilakk kaget powdery gitu ringan banget asli dah gak asa pake lippies kalau minum aman bakal pudar kalau makan wajib re apply gak stain yaa yg bibir kering pake lip matte mending cobain deh gak kering sama sekali aku yg dry lips friendly aku emang dry lipsnya parah banget jadi kalau pake tetap kering cuakepp kalau mau aman aku tap pake lip balm atas biar warna gak smudge stay hydrated wkwk sukaaa aku ken beli kalau misal gak nemu lippies yg cocok aku yg super dry lips cewe punya bibir mudah banget kering kalau salah pakai lip products aku rekomendasi buat kalian punya bibir kering asli coveragenya oke ga oksidasi paling penting ga bikin bibir kering warna aku jadi pink segar gitu bikin wajah lihat fresh kalau habis makan tetap transfer yaa jadi retouch kaget waktu lihat ratingnya tinggi lipcream bagus mudah sapu creamy berat tebal maupun lengket finishnya matte cepat kering buat crack warna cantik nude chocolate pinkish lebih nude pink kulit fair to light sedikit teroxidasi bibir lama lama warna deep blush lumayan tahan lama habis makan pudar tinggal reapply sedikit tonjol transfer transfer sedikit makan minum buat cinta ombre lips shade coba bagus buat ombre dasar cocok utk skintone medium bikin warna cerah muka utk tahan oke awet pakai makan hari formula ringan shade jadi salah saatu produk fav aku utk ombre lipss its creamy gumpal mudahmengaplikasikannya suka banget sama smua warna wardah velvet matte sangat kini simple mini mudah beli smua e commerce supermarket bahkan pasar traditional brown dreamer warna sangat nude hint pink nya soft banget warna cantik padu coklat pink buat bibir lihat cerah tetap natural tekstur creamy powdery finishing comfort matte asa nyaman bibir lengket ngga bikin crack cukup long lasting sangat pigmented udah pakai beberapa tahun lalu tekstur enak lembut aplikasi terus ringan bibir warna cukup buat ngecover warna bibir gelap tahan cukup awet banget kalau buat makan minum hapus buat daily enak banget warna cakep warna cocok andal buat ombre biasa sih cukup recomend lah yaa
Lip Cream,Darling Pink,mahana lip cream rupa liquid lipstick racik dokter estetika medik profesional tekstur creamy ringan bibir longlast transferproof kandung vitamin e hasil akhir matte natural bibir how to use oles rata bibir intensitas diinginkansuitable for semua jenis kulitingredients warna cocok banget buat kulit sawo matang cantik banget kalo aplikasi bibir nyaman gak kering aroma soft enak harga masuk jangkau buat lipcream nyaman lip cream local juwaraaa aku pake dri november awet dong wangi enak trus moist bangett hasil aku matte ga bikin bibir pecah pecah warna kalem gitu cocok dipake hari hari awett banget yaawlaah bakal repurchase pastinyaa bagus banget si ringan bibirr poko asa ga pake apaa apa gitu bdw anti air banget guys buat ombre bagus bangett apalgi darling pink ini sih bner bner worth it bangett sbagai lipmatte aku jga gunain sbagai blush on karna emang ngaruh banget buat look bagus banget ngga berat ringan sekali sekali oles udah mantul warna lumayan awet sih hari warna cakep semua aku punya nih satu yg deep mllow kalau yg darling pink ni lebih soft gt nude emang dasar suka yg nude sih produk bagus gampang diapply kan bibir no tranfer jugatahan lama rekonendded lah buat mula baru mau nyoba nyoba beli lipcream harga jua jangkau kalang ajar dewasa moga lain sama yaa aku punya shades meski warna yaa bagus bikin wajah tampak cerah warna darling pink fanta yaaa aka magenta entah turut bibir tekstur kering jadi mesti pake aku pake lipcare lipbalm dulu rasa bibir formula ringan bibir matte ga bikin bibir kering garis bibir sih liat lipcream matte semua gitu si formula sendiri ga bikin bibir tambah kering kerontang timing ngesetnya jg pas waktu kalo kalian mau bikin ombre ga lama buat nungguin kering lipcreamnya ga bau rasa aneh aku suka sama warna pink kulit sawo matang masuk cuman karna lipcream warna cepat retak bibir aku aku type bibir mudah pecah transfer gelas kalo mau touch up jangan timpah bakal pecah retak tmbh liat tipsnya hapus dulu baru pasang ulang kuasny sekali jangan geser bolak balik krn lipcream ny cepat bgt kering lipcream yg super duper bagus banget gapake boong lipcreamnya bener matte tp gabikin kering sama sekali fix rekomen banget buat ciwi ciwi and then harga yg worth bgt please udah dipake hari jg ttp matte tahan bgt waterproof pulaa
Intense Matte Lip Cream,014 Coco,make over intense matte lip cream rupa lipstick cair formula revolusioner creamy tahan lama warna matte pigmented beri hasil akhir full coverage ringan bibir how to use aplikasi bibir rata suitable for ingredients contains vitamin e and vitamin c as antioxidant lipmatte jaman aku kuliah warna nya my lip but better sih lembut sekali swipe nutup warna gelap bibir gak bikin bibir kering sama sekali lama kering warna soft cocok kulit kuning langsat aku make over intense matte lip cream shade coco warna brown good banget fan pasti cocok banget buat semua skin tone yah cantik lumayan tahan lama gak bikin bibit kering wangi nya enak kalo aku biasa pakai malam hari definisi makin lama makin cintak meski produk lip cream kering warna makin masuk bibir samping gelap my lips but better tekstur creamy pigmentasinyaa full jadi pakai dikit aja cuakeeep lumayan awet kok lip cream meski hilang hilang cakeep pertama kali beli produk warna cocok suka beri tampil elegan tekstur produk mudah gumpal aplikasi bibir warna rata lipstick transferproof kurang nyaman pakai cinta lip cream matte coklat wajib kumpull cobain make over shade coco bibir ga bikin kering warna nge cover bibir gelap harga oke banget buat produk lipmatte lokal ini mau coba lo product make over series lainn cinta lip cream coklat turut coklat lumayan gelap kulit aku kuning langsat bukan nude ga gothic cuma gelap aja kok dipake tipis kok warna nutup bibir lumayan gelap tahan oke sih kalo selesai makan biasa tetep yg ilang bagi dalem tp sedikit bukan yg bener ilang gt kalo bibir kamu kering aku saranin pake lipbalm dulu beberapa kali aku perhaatiin kalo dipake lipbalm bibir aku suka liat bgt garis bibir warna coklat nude cantik bangett layer biar lebih bold finishnya matte banget sama sekali ga bikin kering bibir ga asa tarik gampang bgt cari harga affordable bgt buat lipmatte se pigmented dulu aku kira lip cream make over bakal kering banget bibir aku nyata sama sekali warna coklat gelap gitu warna satu aku paling suka aku pribadi suka sama formula kandung lumayan ringan bibir aku transferproof aku baru cobain lipcream nih emina sm aku bilang klo make over paling paling bsgussss even emina aja kata aku udh bagus tp bener terbaguuusss bgt ga ngerti lg mate bgt tp ga rasa lighttttt bgt kaya ga pake apa ga berat botol aja kaca bagus bgt elegan bgttt mana formula liptintnya bagus warnya nya makjreng cantik bgt aku suka ombrein jg sm emina yg aku ttp cuco sendiri aja cuco bgt mungkin aku bakal beli lipcream aja nextnya ga percaya am brand nyobain bener ternyamannn ga pernah skip pake shade coco coba kalian cek ig ku milaadsw situ semua foto ku pake shade coco produk tentu yg aku promoin feed yaa sumpah bener bagus bgt udh tahun aku pake ngga terlalu waw bikin elegan
Cliquematte Lip Stylo,202 Hollywood,make over cliquematte lip stylo hollywood rupa lipstik hasil akhir matte ringan kaya vitamin e buat bibir kering milik pigmentasi warna buildable hasil akhir sesuai ingin kemas bentuk stylish click pen aplikasi lebih mudah higienis jadi lipstik mudah patah how to use aplikasi lipstik seluruh bagi bibir rata ulang aplikasi hasil warna lebih intens suitable for semua jenis kulitingredients make over cliquematte lip stylo enak banget pakai matte ringan bikin bibir kering vitamin e nya warna cantik atur sheer bold praktis banget bentuk click pen jadi higienis gampang patah cocok buat daily look acara spesial tinggal klik swipe warna cantik rekomen awal beli kek iseng ajah krn ken coba lipmatte yg bentuk stick gtu pilih warna pink dikit karna bibir aq ga cocok pake yg nude gt pas beli pas banget n rekomended dijadiin base ombre klo gacocok warna nude aq udah pake tahun lebih sampe merek udah gakeliatan lg awet banget sih aku terus oke banget buat warna nya makenya gampang banget slim abis bikin enak gitu masuk kantong aku udah repurchase kali kali enak buat pakein ombre buat kalian yg mau bibir cakep banget cobain sih wishlist aku nyata bgus bgt jadi aku kira ga cocok ter cocok bgt ken kulit aku oily aku saranin temen ku eh checkout langsung happy krn sesuai type wajah gak mahal harhanya worth to buyy product ini kalian wajib banget buat cobain bagus banget tahan lama bibit enak banget pakai lama hari hari bawa makan tetep lihat warna nude kalem worth to buy deh kandung skincarenya jadi bibir makin lembap ga bikin kering enak eun banget tekture nya cocok bibir kering pecah kaya aku trus enak untk aplikator nya kaya pakai pulpen gak ribet finishing ny engga glossy engga matte jga tpi cendetung matte tpi matte ny engga yg matte banget pak aku cek texturenya cery creamy bagus but bibur kamu ada bagus pakai lipbalm dl belum buat warna ngikutin warna skintone kamu buat tahan lumayan bagus bikin bibir smooth operator hahah waaaaaah kalo udah jago hampir semua make up pake make over pake clickmate udah beli kali kali yg jetseter sama hollywood packaging bagus simple tinggal klik langsung pake gampang aplikasiinnya tipe bibir jni kan kering jadi nyoba lipstik susah banget yg pas apa kalau matte ga cocok tapiiiiii aku nyoba produk cliquematte makeover iniiii sukaaa banget walaupun matte bikin bibir aku kering daaan gampang bawa tetep lancip lipstik pakai kaya pensil cetak cetek sukaaa banget pokok
Ultra Hi-Matte Lipstick,011 Baby Bombshell,make over ultra hi matte lipstick rupa lipstick warna terang tekstur matte hasil tampil bibir goda milik tampil persona lama delapan jam sekali sentuh kandung jojoba oil tahan lembut bibir cegah bibir kusam vitamin e antioksidan pelembab bibir sedia enam warna beda how to use guna langsung bibir mulai bagi tengah bibir atas lalu lanjut hingga seluruh muka bibir suitable for semua jenis kulit ingredients pakai lipstick udah lama banget tahun lalu tahun shade shade dua aku punya seri hi matte warna bagus banget walaupun matte tp tekstur creamy aplikasi gampang seret downsidenya lipstick gampang lepas tempat jadi kurang travel friendly nempel bagi tutup harga affordable packagingnya elegant maaf bgt kasih bintang aku kecewaaa warna nya ga nyatu banget ga trlalu pigmented kalo terlalu banyak ngoles bikin bibir tambah keringgg liat garis garis bibir da pecah pecah nya warna nya pink lebih rose pucet gitu jelek aja gt muka ku huhu warna bagus banget matte finish sayang gampang retak pernah jatoh pas baru beli langsung retak jadi bawa hati hati dulu selalu repurchase tp sekarang udah ngga repurchase karna temu lipstik yg better teteep make over sih sumpah asa tipu beli awal aku liat warna lucu banget plus liat review orang ko lucu pas aplikasiin eh pas beli nyesel nyesek seeeee nyesel nyeseknya loh karea nyata kalo aku pake bibir aku kaya emak emak pake lipstik sembarang warna mana pink nya ga nyatu bibir ku tambah lipstik matte susah aplikasiin ku fikir bakal gampang aja matte sedih pokok belum galau mau beli revlon yg crayon huhu mulai packaging super elegan pencet gitu model baru warna pinknya turut too pink tetep aja warna super cantik waktu mau beli aku bingung mau beli yg pink apa yg rada coklat karna smsm bagus nempel bgt bagus bibir packaging nya elegan karna warna hitam slim gitu jadi ga bikin pouch makeup tebel wangi aku ga ngerasa wangi apa tengturnya lumayan tebel asa pake lipstik emng ga gangu bibir ga sakit karna tekstur nya lumayan tebel alangkah baik nya kasih lipbalm belum lipstikk keren abiss bikin bibir jadi liat manis terus pilih warna nya cantik tinggal pilih aja deh sesuai jenis area bibir pokok cocok banget buat kalian cewek mau pergi terus gampang buat cari kemas simple bangettss terus ga lengket gitu bibir tahan lama jadi ga perlu dehh touch up lipstik terus terus gasuka sama formula lipsticknya keset banget jadi susah banget diaplikasiin bibir terus baru kali aku puter udah potong masa terus warna ga sesuai banget buat aku terlalu terang this product doesn t for me sorry iseng iseng beli nyobain lipstik makeover matte hasil bagus ringan bibir matte g bikin kering bibir warna bagus harga jangkau oke lipstik cobain deh awal mula tau brand make over gara gara lipstik pas jaman kuliah wkwkwkk tekstur enak pake enak gak bikin bibir jadi kering ringaan warna baguuuussss pink nude gitu sekali swap langsung keluar warnanyaaaa
Exclusive Matte Lip Cream,18 Saturdate Night,wardah exclusive matte lip cream lipstik tekstur cair hasil akhir matte pigmentasi tinggi kaya vitamin e nutrisi bibir how to use aplikasi bibirsuitable for ingredients aku beli tuh impulsive nyata bener works nutupin warna bibir gelap bukan matte bikin bibir pecah pecah afternya aku bakal rekomendasiin wardah matte lip cream yaa aku pake buat ombre lipsnya siapa sih gak tau lipcream wardah packagingnya lama sekarang packagingnya baru reformula aku punya packaging lama formula lama aja cuintaaaah warna mauve gelap cuantik kulit lipcream formula lama gak terlalu tahan lama kalau dia pakai ombre cantik warna atau pakai full cantik aku pernah cek kaya shade formula baru wardah lip cream saturdate night jadi favorit banget karna warna cantik elegan mampu warna bibir jadi lebih cantik nan pesona tekstur lembut mudah aplikasi tahan lama mudah jatuh cinta warna wardah the best beli buat sekal pakai matte jadi buat bibir kering pecah pecah aku pakai lip balm dulu baru kemudian pakai matte ngak pecah rontok ketika jadi kalau udah pakai lip balm pakai hasil nya bagus matte bibir penuh suka banget sama lipstik bner bner matte ga bikin bibir kering pecah pecah tentu awet pakai timbul bekas tentu warna suka banget recomment banget coba wakti aplikasi bibir mudah banget enak gak gumpal sama sekali warna cakep bangeeeeeeettt pleaseee bener bikin suka deh sama lip cream aroma enak gitu nyaman dipake bibir harga lumayan jangkau kaum aku udah make lama bulan akhir betanjak lip cream aku ga heran nama varian saturdate night soal emang cantik bayang aku cocok buat ngedate sama suami wkwk aku suka lipcream wardah warna nude nya tetep cerah pigmentasi tinggi paling penting ga bikin bibir kering jadi tetep sehat bibir aku hehe lipcream pertama aku punya sering aku pake jaman kuliah warna cantik banget bener bener cocok buat skintoneku jadi ga terlalu colok buat anak kuliah bener bener recommended buat suka lip cream shade yg darker tp ga colok banget plus harga affordable banget entah udah berapa shade aku coba wardah lipcream suka shade salah satu favorite aku udha beberapa kali repurchase aku jatuh merah orange coklat gitu cocok banget dipake daily klo urus pigmented tahan perlu ragu formula nya jg sekarang lebih better terlalu bikin kering bibir suka pokok duluu bgt pernah cobain lipcream wardah tp jujur underestimate krn pas coba bibir lggs kering powdery kmrn lg butuh shade mauve ungu tp coklat gelap coba in merk kok ga yg klik cobain ternyataa enaakk pigmentasi jg oke lembut ga kering samsek harga pas
3 in 1 Multistick Crayon,Dear Lily,dear me beauty multi stick crayon rupa produk multifungsi guna lipstik eyeshadow blush on milik formula ringan tahan lama hasil akhir semi matte lengkap argan oil beri lembap how to use aplikasi area bibir kelopak mata pipi sesuai kebutuhansuitable for ingredients aku salah beli shade beli online tokped bareng sama shade nadia nyata aku ga cocok sama warna lebih pink oren jadi aku prefer nadia pink coklat gitu sebenernya formula bagus bagus aja ringan ga rasa kering sayang gampang ilang jadi ga cocok buat dipake hari retouch love hate jadi wkwk warna nude cocok dipake sendiri base ombre skin tone aku light medium cocok banget shade dear lily warna natural fresh jadi ga pucet tipe nude yg orange lipstick multifungsi sih blush eyeshadow lipstick blendable finishnya semi matte aku lebih sering pake lipstick smooth pas diapply bibir ga bikin kering garis garis emang smooth jadi mudah transfer ga long lasting cocok buat dipake urgent praktis sat set sat set trs mudah reapply bagus warna peachy peachy seger gitu suka aku pake buat keluar rumah sebentar kaya mau cari makan belanja bulan mau ambil paket delivery wkwk ga terlalu tahan lama gampang ngestain warna cakep walaupun keluar ga pake makeup bikin look jadi seger aku beli pas diskon tokopediaa jadi cuma iseng iseng aja warna aku bagusss bangett sih kaya natural gitu cuma kurang gampang geser gampang ilang kalo aku its diretouch kalo ilang warna oren sedikit coklat gitu warna masuk skin tone undertone aku tricky kadang liat terlalu kuning undertone ku netral tetep liat natural kalo ga banyak makenya eyeshadow blush on perlu build keluar warna lip color cukup pigmented sesuai klaim memang semi matte jadi ga bikin bibir kering ga tegas garis bibir cukup nutupin warna asli bibir ga transferproof atau smudgeproof enak reapply packagingnya cukup travel friendly bawa hari hari suka makeup nuansa peach orange gt suka ma shade tuh kalau males dandan pake doang aja udh ngerasa cakep ga bikin bibir kering cuman ga terlalu tahan lama tinggal touch up tuh ga bikin gurat bibir jd makin jelas gt khusus shade aku luv banget deh masuk lip crayon warna bagus banget cocok pakai skintone medium warna peach coklat bikin wajah lihat fresh pakai formulasi masuk lip crayon pigmented gampang diblend jadi pakai bibir maupun pipi blush on gampang rata lip crayon ga bikin bibir kering finish lip crayonnya lebih soft matte kurang lip crayon memang kurang tahan lama kalau pakai makan gampang hilang masuk kalau jadi blush on iya packaging lip crayon khas dear me travel friendly aku beli bareng sama shade irene review aku gak bagus buat shade irene shade lily better lebih creamy gak patchy bibir warna nya cantik nudy orens bikin lihat fresh multi crayon memang pakai buat eyelid cheek gampang ilang transfer cuma beli nya waktu diskon gede gede jadi gak terlalu kecewa sih worthed lah so far gabikin bibir kering kadang aku cocok an pake yg crayon type gin minus turut kurang pygmented entah bibir atau pakai pipi jadi aku pakai buat base lip aja tumpuk pake lip cream buat ombre teteup maybe i will not repurchase love hate sebenernya sama produk multistick gampang banget hapus kalo dipake buat eyeshadow blush on padahal warna cantik orange gitu kalo bibir lumayan bikin kering ga nyaman kalo reapply aku suka sih sama packagingnya yg simple tekstur ga lembut gitu
Color Stick Matte Crayon,103 Harper,there s no description for this product warna lebih peach oranye cocok bgt kalau mau ombre aku sendiri ga pernah make sendiri krn terlalu pucat kulit tekstur creamy gampang diblend ga gampang patah kadang aku jadiin blush on kalo ken yg ga colok krn warna cocok jd blush on packagingnya oke bgt sih gemes pertama kali aq beli lpstik sedang jalan sama teman aq mampir counter make over tarik coba n akhir pilih lipstik crayon make over crayon lipstik hyper warna cantik warnya pink nuansa nudenya jadi alu pinky bgt love this colour segi pakai tdk buat bbir kering nyaman dipake hari ga mslh aq lihat warnya cukup variasi next time pingin warna akhir nyobain makeover lip crayon gift temen sebenernya kurang suka sama pigmentasi kurang coverage bibir gelap kaya diswatch kali kali biar tutup hasil jadi kaya ngga terlalu nempel bibir gampang transfer sayang aku dapet shade kurang cocok dia terlalu pink buat warm toneku mungkin lewat masa hype nya liat warna cantik jd goda beli hihi warna nya nude pink tp ngga pucet mauve peach cocok pakai baik ada dandan maupun dandan muka jadi ga pucet ngga liat menor definisi seger aja gt tekstur enak sih lembut gitu bibir tp aku bikin kering jadi pasti bibir udah cukup lembab seblm pakai tahan sih kurang cepet luntur kalo makan barbar jd harua re apply cocok banget dijadiin base ombre sangat satu kulit buat my lips but better cuma tahan kurang aku ga masalah kalo touch up ga sepucet jadi kalo dipake sendiri ttp oke jatuh kek bibir sehat lipcrayon finishnya satin gitu gasih waterproof kissproof jg jadi mohon hati hati segi warna oke banget tipe nude mauve jadi buat kulit gelap oke lah teksturenya melt gitu bibir gak susah kok applynya anyway lama bgt abis jujur sampe bosen pake pake lip balm gak bakal bikin sakit bibir cause tekstur lembut gt matte finish tp gak longlasting ngecover bibir gelap terus bibir tuh kek bibir sehat aja gitu wkwk kurang cuma satu ga matte jadi buat makan ilang sampe nemu warna cocok bibir kaya pake lip crayon warna jarang bgt sekarang saat gempura warna nude pucet ombreannya tetep juara sih walaupun minus aga ringkih gampang patah but akalin kepake sampe abis terus love it
Rouge Edition Velvet,Beau Brun,bourjois rouge edition velvet lipstik formula ekslusif takjub beri hasil akhir matte warna sangat keluar lipstik tekstur halus mudah satu kulit kaya kandung evanescent oils buat bibir tetap lembab formula tahan lama hingga jam bibir konsistensi perlu tanya how to use aplikasi langsung bibir lalu ratakaningredients one of the best lipcream yg pernah aku cb tekstur lembut creamy but super duper lightweight kyk ga pake apa apa gitu dah gitu masuk longlasting makan yg minyak ga geser banyak ulalaaa pokok cinta banget deh sm lipcream warna beuuh cantik parah yg beau brun no tipikal my lips but better gt deh hint brownnya yg bikin cocok dipake hari acara shade bourjois matte lip cream turut paling cocok buat kulit sawo matang warna pink tua peach bikin wajah lihat cerah sayang super transferproof ngga tahan lama bibir aku buildable kalo mau buat ombre lips wangi lipcream enak sih suka sih sama warna beau burn ketinbang nude ist hint orange tua coral merah bata gt bikin wajah cerah fresh suka sm burjouis krn warna bagus n hrg jg gak mahal lumayan bs buat gonta ganti sm lipstick merk laen cm gak tahan lama mesti sering touchup tp lumayan pigmneted sih gk perlu swatch kali x warna udh terang segi warna aku suka shade beau brun gimana jelasinnya jadi warna tuh kayak merah bata campur coral dikit seger banget bikin muka liat lebih cerah en fresh pas apply enak banget soal coverage nya mantep jadi gak perlu swatch ulang ulang lumayan transfer sih gak bikin matte gitu hasil velvet gak masalah buat aku tipe orang yg demen retouch plus ninggalin stainnya cantik jadi oke oke aja wangi tekstur juara dehhh cocok bgt sama harga warna yg beau brun favorit aku minus sangat waterproof kissproof super transfer repurchase sih tp gak dijadiin lipcream andal paling special occasion aja lipstick yg bagi orang medium class w so far yg baik kelana brand coverage nya cukup baik transferproof nya kategori aman mnrt w krna w malah lebih parno sm lipstik yg gak transfer able sama skali asa bibir w dipakein cat tembok gitu salah satu lipcream nyaman pernah aku coba hasil velvet matte mampu isi garis bibir pas oles bibir lembuuut banget aplikatornya enak wangi kayak bedak bayi tahan mantap aku pernah pake lama jam udah makan minum tidur no retouch hasil tetap stain bibir walaupun warna udah mulai pudar ga kayak pakai awal harga ajasih turut uras kantong ukur drugstore dulu susah banget dapetin series rouge velvet sekarang sih udah gampang temu repurchase yes mau coba shade udah pernah coba shade nudeist beau brun semua muas beli rekomendasi temen tekstur enak banget asli ringan banget kaya gapake apa apa transferproof but it s okay enak buat reapply se ringan warnya bibir gelap jatohnya lebih pink ungu bukan coral jadi kalo mau go for the nude buat bibir gelap kurang cocok bagus kalo ken lebih cerah aja muka
Matte Pigment Gloss,Bazaar,l a girl matte pigment gloss lipstik tekstur cair pigmentasi sangat tinggi sedia agam pilih warna intens cocok guna panjang hari formula tahan lama beri hasil akhir matte how to use aplikasi langsung bibir guna kuas bibir mudah aplikasi hasil tampak lebih rapiingredients dulu beli pas ngehype banget kata bilang dupe nyx harga ekonomis hmm turut over sih nyata gak mirip gimana dong tekstur kering ngejiplak garis bibir kaya tarik tetep aja kering walaupun udah pake pelembab banyak warna lah kalau cuma warna mah masuk selera aku iyah kalau udah selesai makan duh aneh banget jadi retak gak jelas jadi kaya dekil deh hmm warna asli gak tarik bagus swatch sosmed asli terlalu terang memang ga se neon playful warna barbie pink bazaar gak pakai sendiri buat aku warna ga masuk sama kulit tekstur sama aja kayak shade creamy coveragenya bagus lengket kering aroma chemical a no no sih buat bazaar emang ga cocok ja buat aku beli online ku kira warna nya bakal kalem nyata sedikit ngejreng ku masuk murah ukur lipcream dr luar super gasuka karna superrr duperr bikin kering bgt bibir bikin dry patches kadanh kelupas kaya lengket dikit padahal review liat warna nude pake jadi warna merah bata undertone ungu bukan gak suka ama warna kok gak sesuai bgt sih terus kering bgt makenya better lah yg shade dreamy gak patchy waktu oles shade benar buat jd ombre kalo full bibir ku warna nya jd ga bagus banget urus formula seperti ga bakal tahan hari sama semua product lip matte nya samping packaging nya yg gede banget uk lip matte semua shade nya formula sama bibir jd kering banget hampir smua shade yg ga pernah dipake hari semua cukup swatch lalu good bye lipcream lengket punya sleek aku gasuka malah jadi warna bibir dalem wkwk super ngga rata jadi pdhl niat ken pake yg natural aja ehhh malah ngga rata kesel banget ga repurchase deh lipcream dulu sempat booming kan yah kenal tahan waktu beli shade baazar pas swatch bibir duhh tuhan kering banget crack abiissss udah gitu lengket pas katupin mending sekali beli wardah mana emang sih tahan juara tekstur lengket justru bikin formula lipcream jadi jelek hapus susah banget awal sempat ngira aku beli fakenya eh nyata yg review jg rata rasain sama aku ngga suka sih sama tekstur lip cream prroduknya lenngket banget punya jadi gampang nge crack bikin garis bibir liat jelas itumungkin krn aku milih warna salah kali repurchase no kepo swatchnya warna bagus plus nutup warna bibir akhir beli liat review lengket banget gilaaaa kalo mingkem rapet jadi nempel bibir atas bawah crack astaga kirain bagus iklan satu bau loh hhh monangis rasa lip matte pertama kali aku punya warna aku ga gitu suka terus texturenya lengket gimana gt bibir terus cepet luntur warna repurchase no mau coba merk bnyk bgt keluar skrg
Rouge Edition Velvet,Nude-ist,bourjois rouge edition velvet lipstik formula ekslusif takjub beri hasil akhir matte warna sangat keluar lipstik tekstur halus mudah satu kulit kaya kandung evanescent oils buat bibir tetap lembab formula tahan lama hingga jam bibir konsistensi perlu tanya how to use aplikasi langsung bibir lalu ratakaningredients kalo dikenalin my mom one of her fav brand aku tau lip cream sini lip jg aku jd suka nude pink mauve lip rouge velvet jd gak bikin kering warna nya cantik bgt pas udh nge set bibir aku pake cukup lama sblm explore produk cari lipstik warna krna lama pake warna cokelat trus akhir kebel lah shade honey mood dah cari produk gada sini warna nya orange gitu masuk undertone aku tekstur thick gak trlalu cair mudah diapply cocok bgt buat make up hari utk tahan buat aku semua lipstick sama aja bakal ilang dipake makan aku ga masalah touch up beberapa kali yaa resin meja make up nyata aku punya kaget udh lebih tahun kayak definitely udh exp dulu hampir punya semua warna skrg udah aku kasih orang sisa warna another lipcream juta umat koass friendly warna ga dimarahin dosen yg kantong koass dulu nyarinya susah bgtt smp ninggalin nomer telfon mba ba toko jaman bom ecommerce utk si nudist ini krn emang warna jaman cakep bgt makin kesini udh jarang aku pake warna udh ga ngetrend pink bgt skrg lebih suka yg supernude hint peach brown wkwk teksturenya sebenernya enak creamy velvet tahan oke gak gampang transfer mau dipake utk hari hari atau kondangan cakep bgttt repurchase kayak no jaman dulu aja udh masuk barang mahal sekarang udah banyak produk lipcream lokal bagus lebih affordable ken aku cobain one of my favorite nude lipstick matte nyaman bibir ga bikin kering cukup tahan lama tetap reapply makan so far tekstur ga terlalu berat harga sesuai kualitas produk cocok pakai hari hari pesta makeup yg soft suka sama lipcream bibir lembut bikin kering kerontang warna kalem pinkish gitu tp somehow kadang terlalu kalem walapun cukup pigmented hari oke banget repurchase off coursee krn udah cinta ituu satu sedikit lipcream aku pake si milik bibir kering awal punya sampe sekarang selalu mau repurchase emang semoist finishnya velvet warna cakep paling penting ga bikin bibir kaya gurun sahara tipikal lipstik formula kaya gin tuh jelas gak tahan lama bahkan pake diem ga makan aja jam udah pudar warna dull pink bibir cakep banget buat no make up make up look best everyday lipstick kalo versi buat milik bibir kering kayak aku sekali nemu lip cream cocok bikin kering tentu bakal terus balik situ situ bourjois velvet safest choice aku nyoba selalu kalo cocok balik sini warna andal emang shade nude ist aku emang suka shade arah pink gitu bibir aku gelap kalo ketebelan jatohnya jadi kayak warna ungu jadi biasa aku campur sama shade chocopink jadi andalanquw jugaa tuh lembut banget velvety crack pokok oke dehh masuk kategori lipstik mahal pertama aku loh hahah soalny dulu jarang banget lipcream bagus wangi ga nyegrak wangi alkohol warna nudenya cakep banget no debat applicatornya bagus sekali swap cukup satu bibir awal awal heboh lipcream lippaint borjouis salah satu pioneer lumayan jangkau gampang dapat barang store hade nude ist salah satu best seller nya warna cenderung pink salem asli cantik kalo dipakek masuk banget buat all skin tone tekstur velvetty cream lembut pas apply cenderung bikin bibir kering cinta syekali shayyy definisi cinta pandang pertama wkwk serius awal tuh temenku pake kan pas sma terus aku nyobain biasa ciwi ciwi suka saling try lip lipan kamar mandi kelas ehhh tau aku suka sama produkknya borjouis long lastingg parah woyy warna cantik cantik aku pas weekendnya langsung beli beberapa lip productnyaaa
